Type	Time
ctrl	7.252054
syn1	7.268920
syn2	7.313887
syn3	7.262629
ctrl	7.295735
syn1	7.323831
syn2	7.321189
syn1	7.338888
syn2	7.310550
syn3	7.247793
ctrl	7.165493
syn1	7.177782
syn2	7.171657
syn3	7.218910
ctrl	7.256297
syn1	7.247793
syn2	7.230563
syn3	7.261927
ctrl	7.288928
syn1	7.226209
syn2	7.261225
syn1	7.314553
syn2	7.279319
syn3	7.295056
ctrl	7.257708
syn2	7.253470
syn3	7.244228
ctrl	7.202661
syn1	7.209340
ctrl	7.297091
syn1	7.275172
syn2	7.197435
ctrl	7.269617
syn1	7.277248
syn2	7.273093
syn3	7.264030
ctrl	7.271009
syn1	7.278629
syn2	7.266129
syn3	7.261927
ctrl	7.268920
syn1	7.276556
syn2	7.240650
syn3	7.258412
ctrl	7.261927
syn1	7.279319
syn2	7.273786
syn3	7.269617
ctrl	7.130899
syn1	7.154615
syn2	7.128496
ctrl	7.241366
syn2	7.305860
syn3	7.246368
syn1	7.287561
syn2	7.260523
syn3	7.256297
ctrl	7.199678
syn1	7.219642
syn2	7.163947
syn3	7.218910
ctrl	7.245655
syn1	7.226936
syn3	7.256297
ctrl	7.259820
syn1	7.249215
syn2	7.274480
syn3	7.259116
syn1	7.266827
syn2	7.226936
syn3	7.215975
syn2	7.197435
ctrl	7.346655
ctrl	7.239215
syn1	7.231287
syn2	7.313887
ctrl	7.257003
syn1	7.251345
syn2	7.242082
syn3	7.238497
syn1	7.250636
syn2	7.244228
syn3	7.259820
ctrl	7.234898
syn1	7.239933
syn3	7.234898
ctrl	7.318540
syn1	7.208600
syn2	7.208600
ctrl	7.282074
syn1	7.307873
syn2	7.290975
syn3	7.280697
ctrl	7.189168
syn1	7.271009
syn3	7.253470
ctrl	7.261927
syn2	7.296413
